Product Name,Product SKU,Product Description,Product Information,Sync Status
GLP 1 20mg Nasal,Phych-Sema-20mg-N, Single Agonist is a GLP-1 analog which is a peptide designed to mimic the body’s natural ,"Enhances satiety, reduces cravings, promotes balanced blood sugar levels, supports healthy weight management, and may improve overall metabolic wellness with consistent use. ",UPSERTED @ 2026-05-20 00:00:30
GLP 2 20mg Nasal,Phych-Tir-20mg-N,"A dual agonist that activates both GLP-1 and GIP receptors, providing stronger appetite suppression, improved glucose control, and enhanced metabolic efficiency compared to GLP-1. The addition of GIP signaling increases insulin sensitivity and supports greater fat loss while maintaining better energy and mood stability. Dual Agonist is considered more potent than traditional GLP-1 analogs and produces faster, more noticeable results for many individuals. ","Supports body recomposition, balances blood glucose levels, reduces cravings, promotes steady energy, enhances metabolic efficiency, and supports consistent appetite control when used daily. ",UPSERTED @ 2026-05-20 00:00:30
GLP 2 40mg Nasal,Phych-Tir-40mg-N,"A dual agonist that activates both GLP-1 and GIP receptors, providing stronger appetite suppression, improved glucose control, and enhanced metabolic efficiency compared to GLP-1. The addition of GIP signaling increases insulin sensitivity and supports greater fat loss while maintaining better energy and mood stability. Dual Agonist is considered more potent than traditional GLP-1 analogs and produces faster, more noticeable results for many individuals. ","Supports body recomposition, balances blood glucose levels, reduces cravings, promotes steady energy, enhances metabolic efficiency, and supports consistent appetite control when used daily. ",UPSERTED @ 2026-05-20 00:00:30
GLP 3 20mg Nasal,Phych-Reta-20mg-N,"A next-generation, multi-receptor agonist that targets GLP-1, GIP, and glucagon receptors simultaneously. It is significantly more effective than Single or Dual Agonist because it not only suppresses appetite and improves glucose regulation but also increases fat oxidation and overall calorie burn. By accelerating fat loss while minimizing muscle wasting, Retatrutide delivers the fastest, most powerful, and most metabolically protective transformation among the three. "," Increases metabolic rate, improves fat-to-energy conversion, supports balanced appetite control, enhances stamina, promotes metabolic efficiency, and supports steady daily energy when used consistently.",UPSERTED @ 2026-05-20 00:00:30
GLP 3 40mg Nasal,Phych-Reta-40mg-N,"A next-generation, multi-receptor agonist that targets GLP-1, GIP, and glucagon receptors simultaneously. It is significantly more effective than Single or Dual Agonist because it not only suppresses appetite and improves glucose regulation but also increases fat oxidation and overall calorie burn. By accelerating fat loss while minimizing muscle wasting, Retatrutide delivers the fastest, most powerful, and most metabolically protective transformation among the three. "," Increases metabolic rate, improves fat-to-energy conversion, supports balanced appetite control, enhances stamina, promotes metabolic efficiency, and supports steady daily energy when used consistently.",UPSERTED @ 2026-05-20 00:00:30
GLP 3/GLP 2 25mg/40mg Nasal,Phych-Reta-25mg-Sema-40mg-N,"A next-generation, multi-receptor agonist that targets GLP-1, GIP, and glucagon receptors simultaneously. It is significantly more effective than Single or Dual Agonist because it not only suppresses appetite and improves glucose regulation but also increases fat oxidation and overall calorie burn. By accelerating fat loss while minimizing muscle wasting, Retatrutide delivers the fastest, most powerful, and most metabolically protective transformation among the three. "," Promotes efficient glucose utilization, supports appetite regulation, enhances metabolic balance, improves fat-to-energy conversion, and supports steady daily focus and energy when used consistently. ",UPSERTED @ 2026-05-20 00:00:30
GLP 1 10mg Vial,Phych-Sema-10mg-V,Single Agonist is a GLP-1 analog which is a peptide designed to mimic the body’s natural ,"Supports healthy weight management, enhances satiety, stabilizes blood glucose levels, and promotes cardiovascular and metabolic wellness. ",UPSERTED @ 2026-05-20 00:00:30
GLP 2 10mg Vial,Phych-Tir-10mg-V,"A dual agonist that activates both GLP-1 and GIP receptors, providing stronger appetite suppression, improved glucose control, and enhanced metabolic efficiency compared to GLP-1. The addition of GIP signaling increases insulin sensitivity and supports greater fat loss while maintaining better energy and mood stability. Dual Agonist is considered more potent than traditional GLP-1 analogs and produces faster, more noticeable results for many individuals. ","Weight loss, improved glucose control, reduced appetite, enhanced metabolic rate, and greater fatburning efficiency. ",UPSERTED @ 2026-05-20 00:00:30
GLP 2 40mg Vial,Phych-Tir-40mg-V,"A dual agonist that activates both GLP-1 and GIP receptors, providing stronger appetite suppression, improved glucose control, and enhanced metabolic efficiency compared to GLP-1. The addition of GIP signaling increases insulin sensitivity and supports greater fat loss while maintaining better energy and mood stability. Dual Agonist is considered more potent than traditional GLP-1 analogs and produces faster, more noticeable results for many individuals. ","Weight loss, improved glucose control, reduced appetite, enhanced metabolic rate, and greater fatburning efficiency. ",UPSERTED @ 2026-05-20 00:00:30
GLP 3 10mg Vial,Phych-Reta-10mg-V,"A next-generation, multi-receptor agonist that targets GLP-1, GIP, and glucagon receptors simultaneously. It is significantly more effective than Single or Dual Agonist because it not only suppresses appetite and improves glucose regulation but also increases fat oxidation and overall calorie burn. By accelerating fat loss while minimizing muscle wasting, Retatrutide delivers the fastest, most powerful, and most metabolically protective transformation among the three. "," Increases metabolic rate, improves fat-to-energy conversion, supports balanced appetite control, enhances stamina, promotes metabolic efficiency, and supports steady daily energy when used consistently. ",UPSERTED @ 2026-05-20 00:00:30
